会社名	採用・募集要項から読めるリソース不足	直近の制作実績・技術傾向	社長・会社SNS／発信から読める現状	想定案件（自分が受けるなら）	工数（実働日）	見積金額（自社料金表ベース）	コーディングで貢献できる業務改善・売上貢献	次の一手	出典	情報確度
株式会社インフィニックス	公式採用ページで営業・デザイナーを募集。デジタルマーケ事業に加えデジタルセキュリティ事業でも人材募集予定。社員約10名に対しSEO/MEO/リスティング/HP制作/動画と守備範囲が広く、制作の実装工程は外部依存の構造。転職媒体側では募集停止が多く、正社員採用よりパートナー活用に寄っている。	SEO×AIO対策を看板に掲げるデジタルマーケ企業。HP制作・動画制作・風評被害対策・サイバー攻撃保守まで内包。制作物は自社集客商材と連動したコーポレート／LPが中心とみられ、アニメーション主体というよりSEO実装の質が問われるタイプ。	会社公式のX/Instagram/Facebook（infinix_sns）を運用。「SEO×AIO対策」を前面に出した打ち出しに更新しており、生成AI検索への対応を新商材化しようとしている段階。※シート備考に『役員がアカペラに興味あり』の記載あり＝関係構築の接点は既にある。	既存サイトの表示速度・構造化データ改善＋商材LPの継続制作	LP 3.5日／速度改善 20h（約3日）	LP ¥125,000（LP10,000px ¥100,000＋フォーム ¥20,000＋簡易アニメ ¥5,000）／速度・構造化データ改善 ¥60,000（¥3,000/h×20h）	『SEO×AIO』を掲げる以上、Core Web Vitals・セマンティックHTML・構造化データ（JSON-LD）・llms.txt相当の情報設計は“商品そのもの”。実装で数値（LCP/CLS/PageSpeedスコア）を出せる人間は、同社の提案書に貼れる成果物を作れる＝営業ツールを一緒に作る立場になれる。既存納品済みサイトを1本ベンチマークして改善前後スコアを出す無料デモが最短の売上貢献。	『次もお手伝いできそうな案件ありますか？』の定期打診に加え、既存納品サイト1本のPageSpeed／構造化データ診断を1枚にして送る	https://ifnx.co.jp/ , https://ifnx.co.jp/recruit/ , https://web-kanji.com/companies/ifnx , https://x.com/infinix_sns	中（代表者名が公開DB間で割れている。渋谷の別法人 infinix.co.jp と混同注意）
ISM株式会社	『High quality／Good service／Low cost』を掲げる＝原価を下げたい構造。同名企業が多く公開求人は特定困難だが、既にNDA締結・プラグイン導入相談まで進んでおり、社内の実装工数が足りていないサインが実際の商談で出ている。	WordPress中心。教育・エンタメ・ペット・歯科・健康・ファッションなど業種横断。SEOを意識したWordPress構築が主戦場で、アニメーション過多ではなく“堅く早く作る”タイプ。	公開SNSでの積極発信は確認できず。発信より受託の積み上げ型。『企業の想いをWeb・システムで表現』というコピーが唯一のスタンス表明。	静的コーディング＋WordPress化の一括請け（プラグイン導入・カスタムフィールド整備含む）	9.5日（静的5.0＋WP4.5）	合計 ¥343,000（静的5P一式 ¥165,000＋WP化一式 ¥178,000）／内訳：静的=トップ中¥60,000＋下層3¥45,000＋PP¥7,000＋ヘッダ¥12,000＋フッタ¥8,000＋フォーム¥20,000＋アニメ¥5,000＋スライダー¥8,000、WP=基本テンプレ¥70,000＋固定3¥30,000＋single¥15,000＋archive¥15,000＋CF7¥15,000＋パンくず¥5,000＋ページネーション¥5,000＋サーバ設定¥10,000＋マニュアル¥13,000	『Low cost』を守る側に立つ提案が刺さる。①自分側で共通スターターテーマを持ち、2件目以降のWP化を3割減で出す（相手の粗利が増える）②ACF設計をクライアント自身が更新できる粒度にして、公開後の“ちょっと直して”問い合わせを削減＝同社の保守工数を削る。値引きではなく原価構造を下げる話にすると単価を守ったまま継続化できる。	プラグイン導入相談を単発で終わらせず『2件目以降の割引テーブル（共通テーマ流用前提）』を提示して継続枠を取る	https://ism-tech.jp/ , https://web-kanji.com/companies/isminc , https://yuryoweb.com/company_info/ism%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/	中（同名企業が複数。ism-tech.jp 単体の実績詳細は要確認）
株式会社スタジオカレン	外部パートナー募集を出しており、条件が『中長期の固定額お支払い』『クライアント様先へ常駐できるWEB制作パートナー』。単発の外注ではなく“継続して張り付ける戦力”が足りていない。転職媒体側の正社員募集は動いておらず、社員採用より外部で埋める方針。	2005年からWeb制作、9,000超のサイト構築、うちEC 3,000超（楽天・Yahoo!ショッピング等のモールおよび各ASP）。コーポレート／採用／サービス／キャンペーンサイト＋広告運用・マーケまで。ECのHTML量産が体質になっているタイプで、1本の作り込みより回転数の勝負。	企業理念は『つくるっていいね』。代表個人の発信は確認できず、会社としても実績ボリューム型のアピールが中心。	準常駐の月額固定（週3〜4日）でEC・キャンペーンページのコーディングを巻き取る	週3日＝月12日／週4日＝月16日	週3日：¥252,000/月（¥3,000/h×7h×12日）／週4日：¥336,000/月（同×16日）※固定額前提なら ¥240,000〜¥300,000/月 で提示	9,000本・EC3,000本という母数は“同じ構造を何度も作っている”証拠。モール／ASP別のHTMLテンプレとセクション単位のコンポーネント集を自分側で整備し、1本あたりの制作時間を短縮して提出すると、固定額のまま処理本数が増える＝相手の粗利が直接増える。これは値引き交渉に一切入らずに評価が上がる唯一の型。	『常駐は難しいがフルリモートで週3〜4日の固定枠なら即入れる』とセットで、モール向けテンプレ化の提案を1枚添える	https://www.studiokaren.co.jp/company/ , https://www.atsoho.com/jobinfo/view/no-89477.html , https://web-kanji.com/companies/studiokaren , https://www.biz.ne.jp/company/studiokaren/	高（外部パートナー募集要項が実在）
ペブルコーポレーション株式会社	従業員68名でエンジニア職を継続採用（doda/type/engage/自社recruit）。募集はシステム／インフラ／AI寄りで、フロントエンド・マークアップ専任の募集は薄い＝Web表側の実装は社内優先度が低く外に出しやすい。	Web制作会社ではなくDX／AI／AWSのシステム開発企業。大手WEBアプリ開発、ビッグデータ解析、大規模業務システム、ゲーム開発。約7割が直請け。自社プロダクトに『みちクラ』（クラウド型自動道路検査維持システム）、『水まもり』（AI水位予測）。	2022年11月にNiX JAPAN（建設コンサル）100%子会社化。代表は川上信太郎。プレスリリース中心の発信で、2023年からAI事業を本格展開＝自社プロダクトの認知獲得フェーズ。	自社プロダクト（みちクラ／水まもり）のサービスサイト・LP、管理画面のフロント実装	LP 3.5日／サービスサイト5P 5.0日	LP ¥125,000／サービスサイト5P一式 ¥165,000／管理画面UI実装は ¥3,000/h の時間清算	自社プロダクトを持つシステム会社の典型的な穴は『エンジニアがフロントを片手間で書いていて、見た目と速度と保守性が犠牲になっている』こと。HTML/CSS/UIを切り出して巻き取れば、社内エンジニアの時間がバックエンドに戻る＝人月換算で効果を数字にできる。自治体・民間向けプロダクトなのでアクセシビリティ（JIS X 8341-3）対応も提案材料になる。	『みちクラ／水まもりのLP制作＋管理画面UIの外注』を切り口に再打診（Web制作会社としてではなく“フロント要員”として売り込む）	https://pebblecorp.co.jp/ , https://pebblecorp.co.jp/recruit/ , https://type.jp/job-company/32402/ , https://nix-japan.co.jp/news/20221222	高
株式会社プラセム	従業員31名。福岡でWEBデザイナー（LP・サイト制作／マーケ視点でのデザイン）を募集中。デザイナーは採るがコーディング専任の募集は見えない＝デザインは内製、実装は外に出す構造。人材紹介事業も自社で持つ会社が採用に出している＝本当に足りていない。	WEBコンサル（広告運用代行・SEO・アクセス解析）が主軸で、クリエイティブ制作としてサイト・LP・バナー・動画。Yahoo!広告運用認定パートナー、Google Partner、アイミツアワード2020で制作・SEO対策2部門受賞。広告運用が本業なのでLPの本数が回るタイプ。	Instagram @plusem_recruit で採用広報を運用し、社員のキャリアストーリーを発信。代表は川島裕司。福岡拠点でWEB＋人材＋不動産と多角化しており、人手が常に分散している。	広告用LPの継続制作（月2〜3本）	LP1本 3.5日／月3本で 10.5日	LP1本 ¥125,000／月3本 ¥375,000（継続前提なら初回価格 LP¥80,000＋フォーム¥16,000＝¥101,000 から入る手も）	広告運用会社にとってLPは在庫。刺さるのは制作の速さより『改善を回せる作り』。①セクション単位で差し替え・並び替えできるA/Bテスト前提のHTML構造 ②GTM/GA4のイベント計測タグを実装時に埋め込み、ヒートマップ用の要素IDを規約化。これで運用チームがコーダーを待たずに検証を回せる＝CPA改善＝広告予算の維持に直結する。運用会社に対しては『CVRを上げる実装』が最も分かりやすい売上貢献。	『LP量産＋計測タグ実装込み』の月額パッケージを提案。面談済み（2/27）なので実装サンプル1本を見せて再接触	https://plusem.co.jp/ , https://plusem.co.jp/recruit/ , https://plusem.co.jp/creative/ , https://www.instagram.com/plusem_recruit/	高
ゼロシード株式会社	正社員・アルバイト・業務委託・パートナーと全方位で募集。デジタルマーケ／クラウドアシスタント／人材紹介の3事業を抱えており、制作専任が薄い。実際に営業代行経由の接触後、先方から『Webサイト更新案件』の相談が来ている＝更新作業を回す手が足りていない。	自社サービス『MINIQUE』（住宅イベント・モデルハウス情報の特化型WEBサービス）を運営。受託は広告運用・SEO・WEBサイト改善のコンサル型で、作って終わりではなく改善を回すタイプ。	『デジタルの力で企業と人の可能性を最大化する』を軸に、アスリート人材紹介（agent.zeroxeed.co.jp）まで展開。2014年設立・渋谷。事業を広げ続けており、オペレーションが常に追いかけている状態。	MINIQUE等の継続更新＋改修、および受託サイトのLP制作	更新・改修 月10〜20h（1.5〜3日）／LP 3.5日	更新・改修 ¥30,000〜¥60,000/月（¥3,000/h）／LP ¥125,000	クラウドアシスタント事業＝非エンジニアのオペレーターを抱えている会社。だから『コーダーがいないと直せない箇所』を減らすことがそのまま相手の事業効率になる。更新頻度の高い箇所をCMS化・パーツ化して、オペレーターが触れる状態に作り替える提案は、自分の仕事を減らすように見えて実は“設計の仕事”として単価が上がる。MINIQUEのイベント情報は更新が命なので効果が出やすい。	『Webサイト更新案件』の相談を単発で受けず、更新箇所の棚卸し＋CMS化提案として見積を出す	https://zeroxeed.co.jp/ , https://zeroxeed.co.jp/about/ , https://career.levtech.jp/company/detail/13945/ , https://agent.zeroxeed.co.jp/	中
合同会社コトウリ	公開求人は確認できず。ただしHubSpot／Salesforce／Account Engagement を扱うMA支援会社で、LP改善・フォーム改善・シナリオ設計・スコアリングまで請けている＝コンサル側の人員に対し実装側が薄い典型。	MAツール上のLP・フォーム・メールが制作物の中心。コンテンツ制作、セミナー設計、コールセンター運営、研修まで。WordPress主体の制作会社とは技術スタックが違い、HubSpot/Pardot のテンプレート実装が要る。	代表者・SNSの一次情報は取れず。kotouri.jp（MA支援）と kotouri.com（大阪・ホームページ活用支援）、コトウリ株式会社（MEBIC掲載）の関係が不明瞭で、法人格の確認が先。	HubSpot/Pardot 上のLP・メールテンプレートのコーディング	LP 3.5日／メールHTML 1本 1.5日	LP ¥125,000／MAメールHTMLテンプレ 1本 ¥30,000（¥3,000/h×10h）／既存LPのフォーム改善 ¥20,000〜	MA支援会社の最大のボトルネックは『ツール上でHTMLを書ける人がいない』こと。HubSpotのモジュール化（ドラッグ&ドロップで組めるテンプレ）まで作れば、以降のLPを非エンジニアが量産できる。さらにフォーム改善はCVRが数字で出るため、売上貢献を報告書1枚で証明できる領域。MAツール経験を作れば自分側の希少性も上がるので、投資として合理的な相手。	まず法人格とドメインの対応関係を確認。その上で『HubSpotテンプレのモジュール化』を切り口に打診	https://kotouri.jp/ , https://kotouri.com/ , https://b2b-ch.infomart.co.jp/company/detail.page?IMCOMPANY=23304510 , https://www.mebic.com/cluster/kotouri.html	低（同名・類似ドメインが複数あり要確認）
株式会社GRACE	WEBデザイナーを募集（LP・Webサイトのデザイン＋進行管理／完全土日祝休・年間休日120日以上・残業ほぼ無し）。デザイナーに進行管理まで兼務させている＝制作リソースが薄い。コーダー職の募集は見当たらず外注前提。	リユース／ビジネスコンサル／DX推進／カフェレストランを持つ事業会社で、コンサル事業の中でコーポレート・LP・ECを制作。自社コーポレートサイトのリブランディングが Web Designing 2023年4月号 WD SELECTION に掲載（制作はRD Inc.）＝デザイン品質の基準が高い。	『世の中のあらゆるモノ・コト・ヒトに愛とアイデアで命を吹き込む再生カンパニー』。自社サイトを外部の実力派に発注して雑誌掲載まで取りに行く姿勢から、見た目の妥協を嫌う社風が読める。	デザイン重視のコーポレート／LPのコーディング（アニメーション多め）	7.0日	約 ¥250,000（トップ大¥110,000＋下層4¥60,000＋ヘッダ¥12,000＋フッタ¥8,000＋フォーム¥20,000＋簡易アニメ¥5,000＋スライダー¥8,000＋モーダル¥8,000＋アコーディオン¥5,000＋その他JS調整¥14,000）	雑誌掲載レベルのデザインを扱う会社に効くのは『崩さない』こと一点。Figmaの数値（余白・級数・行間）を1pxずれずに再現し、かつアニメーションを積んでもCore Web Vitalsを落とさない実装（IntersectionObserver＋CSS transform中心、GSAPは必要箇所だけ、画像はWebP＋遅延読込）ができると、デザイナーが進行管理から解放される。デザイナー1人あたりの担当本数が増える＝採用しなくても回る、が業務改善の言い方。	自社サイト（WD SELECTION掲載）を題材に『このレベルの再現＋速度両立』の実装デモを1セクション作って送る	https://gr1.jp/ , https://gr1.jp/recruit/ , https://gr1.jp/business/consulting/ , https://webdesignclip.com/gr1-jp/ , https://rd-inc.jp/work/grace/	中
株式会社Liments	Wantedlyで『創業3年目のベンチャーでスキルがどんどん身につく！WEB制作営業募集』等を掲出。募集の主軸は営業・ディレクション側で、制作はフリーランスコミュニティ『FSS』からの調達が前提。※シート上は既に「見送り」。	250超のサイト制作実績、大手上場企業サイトも担当。Web制作・Webマーケティングに加え、男性美容メディア、フリーランスコミュニティFSS運営、大学生による受験相談サービスと多角。制作は本数で回すタイプ。	代表は慶應卒→クルーズ株式会社を経て2017年に創業。Wantedly／オンリーストーリー等のメディア露出が多く、発信は採用と組織づくりに寄っている＝外注管理そのものが事業の一部。	受託案件のコーディング巻き取り（単発〜スポット）	5.0日	コーポレート5P一式 ¥165,000	外注コミュニティを自社で運営している＝彼らの本当の悩みは『品質のばらつきと手戻り』。刺さるのは腕の安さではなく、コーディング規約（命名規則・ディレクトリ構成・レスポンシブ基準・納品チェックリスト）をドキュメント込みで納品できること。FSSメンバーがそのまま使える標準を渡せば、同社の外注管理コストが下がる。ただし『見送り』済みなので優先度は下げ、他社実績が積み上がってから再打診が現実的。	今期は追わない。半年後にFSS向けのコーディング規約テンプレを手土産に再アプローチ	https://liments.co.jp/ , https://www.wantedly.com/projects/516018 , https://onlystory.co.jp/stories/1760 , https://web-kanji.com/companies/liments	中（見送り済のため優先度低）
株式会社bon	コーダー／Webディレクター求人の必須スキルに『HTML/CSS構築、Dreamweaverを用いたコーディング技術、WordPressによるサイト構築』を明記。従業員16名に対し製品サイト300件・コーポレート200件の実績量で、制作の手が慢性的に足りない。面談まで進んでいる（6/5）。	2013年設立、大阪中央区＋東京世田谷。企画→デザイン→制作→運用まで一貫。実績は製品/商品サイト300件、Web解析200件、Webコンサル200件、コーポレート200件。小田急電鉄のサービスサイトなど大手案件あり。WordPress構築とLPが主戦場。	代表は小川力也。求人票にDreamweaverが名指しで出てくる＝制作フローが旧いまま回っている可能性が高い。Web解析200件を掲げており、作るだけでなく数字を見る文化はある。	WordPress構築込みのコーポレートサイト一括	9.5日（静的5.0＋WP4.5）	合計 ¥343,000（静的5P ¥165,000＋WP化一式 ¥178,000）	Dreamweaver運用が残っているなら、Sass＋コンポーネント分割＋Git管理への移行が最も効く業務改善。いきなり全社移行を勧めるのではなく、自分の担当案件1本でその作り方を実践し、『同規模の次案件で制作時間が何%減ったか』を数字で出して型を渡す。Web解析200件の文化がある会社なので、数値で語れば通る。加えて計測タグ実装を標準化すれば解析事業の入り口も広がる＝売上貢献。	面談済みのため、初回案件を『試験的に1本』の名目で取りに行き、制作時間の実測レポートをセットで納品する	https://boninc.co.jp/ , https://www.find-job.net/list/j121236.html , https://web-kanji.com/companies/boninc , https://imitsu.jp/ct-hp-design/pr-osaka/ci-chuo/supplier/177038	高
