会社名,URL,所在地,募集内容
アーキテクチャー,https://www.architecture.co.jp/partner/,東京都千代田区,Webコーダーを募集。
アークウェブ,https://www.ark-web.jp/www/partner.html,東京都中央区,マークアップエンジニア。SOHO・法人の外部パートナーを募集。
アーチェスト,https://archest.jp/recruit/,神奈川県横浜市,正社員・パート・フリーランスのコーダーを募集。
アーティス,https://req.qubo.jp/artis/form/recstaff,静岡県浜松市,コーディング。法人も可。
アイディー,https://www.id-001.co.jp/partner/,東京都墨田区,HTMLコーデイング。フリーランス・法人不問。
アクセル,https://www.axel-jp.com/recruit.html,神奈川県逗子市,外注または社内のコーダーを募集。
アサプリ,https://www.asapri.co.jp/recruit/,三重県桑名市,フロントエンジニアを募集。
アット・ウエルネス,http://www.well-ness.co.jp/info/recruit.html,東京都中央区,HTMLコーディング。
アドエイト,https://ad-eight.co.jp/partner/,東京都新宿区,コーディング。個人・法人不問。
アルカミクス総合研究所,https://arcamix.jp/partner/,東京都新宿区,コーディング（js含む）。
アルファ―企画,https://www.alpha-planning.co.jp/partner,群馬県前橋市,個人・法人のコーダーを募集。
アンクベル・ジャパン,https://www.anqbell.jp/recruit/,神奈川県横浜市,HTMLコーディング。
アンクル,https://uncle-japan.com/contact/,大阪府・東京都,コーダーを随時募集。
ECBB,https://ecbb.co.jp/employment/,東京都渋谷区,SOHO・フリーランスのhtmlコーダーを募集。
イコール,https://www.equal-jp.com/partner/,東京都千代田区,広告制作の実務経験があるWebコーダーを募集。
ICHIZA,https://www.ichiza.asia/recruit/,静岡県湖西市,実務経験が1年以上ある外部コーダーを募集。
イル,https://il-design.jp/partner/,東京都練馬区,外部Webコーダーを募集。
インターセプター,https://intcpt.com/recruit.html,東京都大田区,HP作成（HTMLソースコード作成など）。
インプレジー,https://www.impregy.co.jp/inquiry/inquiry2.php,東京都目黒区,SOHO・企業のコーダーを募集。
ヴァリエ,https://varie.co.jp/#partner,大阪府大阪市,コーダー。学生可。関西一円、首都圏の方特に歓迎。
SEデザイン,https://www.sedesign.co.jp/contact-partnership/,東京都新宿区,フロントエンドエンジニア・WEBコーダーを募集。
STV（エスティーヴィー）,http://stv-d.com/partner/,東京都渋谷区,外部コーダーを募集。
SD WEBWORKS,https://sd-webworks.com/partner/,東京都杉並区,実務経験が2年以上あるマークアップエンジニア、フロントエンドエンジニアを募集。
エッコ,https://ecco.co.jp/partner/,愛知県名古屋市,フロントエンドエンジニアを募集。
エミシ,https://www.emishi.co.jp/partner/,北海道札幌市,Webコーダーを募集。
エム,https://www.em-ltd.jp/partner/,東京都千代田区,コーダーを募集。
エルア,https://elua.jp/recruit/,東京都豊島区,専属契約・エージェント契約（制作パートナー）のコーダー（フロントエンドエンジニア）。
エレクトロ・キュート,https://electro-cute.com/partner/,大阪府大阪市,フロントエンドエンジニアを募集。
OFFICE ZOO,https://itszoo.com/staff/,静岡県磐田市,SOHO経験のあるコーダーを募集。Windows10で、1日5時間以上または週35時間以上作業できる方。
オレンジ社,https://www.orange-sha.co.jp/partner/,東京都千代田区,フロントエンドエンジニア、マークアップエンジニアを募集。法人・フリーランス不問。
カズミア,https://www.kazmia.jp/partner/,神奈川県海老名市,HTMLコーダーを募集。法人も可。
ギャラクタス,https://galactus.co.jp/partner,大阪府大阪市,マークアップ・コーディング（フロントエンド）。HTML/CSS、JavaScriptを用いた開発・実装など。
