会社名,URL,1行目,2行目,種別,根拠原文（要確認）,出典,確度
エミシ,https://www.emishi.co.jp/partner/,貴社が掲げる「北海道内の地方に目を向け、埋もれている良い物をデジタルの力で発信していく」という言葉に、強く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,北海道内の地方に目を向け、埋もれている良い物をデジタルの力で発信していく,"https://www.emishi.co.jp/company/ , https://www.creators-station.jp/interview/legends/38680",高
StockSun,https://stock-sun.com/recruit/jobs/,「ヒトと事業の成長機会の損失をなくす。」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,ヒトと事業の成長機会の損失をなくす。,"https://stock-sun.com/company/ , https://stock-sun.com/",高
ギャラクタス,https://galactus.co.jp/partner,貴社の「宇宙に誇れるWeb制作会社を目指しながら、まずは皆さんのお役に立ちたい」というお考えを拝見し、素直に惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,宇宙に誇れるWeb制作会社を目指しながら、まずは皆さんのお役に立ちたい,"https://galactus.co.jp/company/ , https://web-kanji.com/posts/galactus-interview",高
ここラボ（こころからだあんしんラボ）,https://kokorokarada.net/partner.html,「肌を想う、人を想う。そんなこころのまんなかに」という貴社の言葉に、深く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,肌を想う、人を想う。そんなこころのまんなかに,"https://kokolab.co.jp/about.html , https://kokorokarada.net/concept.html",高
メディアクリエイツ,http://m-cre.co.jp/partner/,貴社が大切にされている「いのちを大切に、デジタルの力で誰もが活躍できる未来を創造する」という言葉に、感銘を受けました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,いのちを大切に、デジタルの力で誰もが活躍できる未来を創造する,"https://m-cre.co.jp/company/com_03/ , https://m-cre.co.jp/company/com_02/",高
ホノカ,https://hgr.jp/2899,貴社が掲げる「制作ありきではなく、課題解決ありき」という言葉に、強く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,制作ありきではなく、課題解決ありき,"https://hgr.jp/about/ , https://web-kanji.com/companies/hgr-jp",高
アーティス,https://req.qubo.jp/artis/form/recstaff,「使うと気持ちいいWebサイト」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,使うと気持ちいいWebサイト,"http://www.artisj.com/ , https://web-kanji.com/companies/asobou",高
アサプリ,https://www.asapri.co.jp/recruit/,貴社が印刷・動画・Webを社内に持ち、従業員50〜100名という規模で地方の総合クリエイティブ企業として案件を安定して回されていると知り、ぜひご一緒したいと感じました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,事実ベース（要約・引用ではない）,印刷・動画・Webを社内に持ち、従業員50〜100名という規模で地方の総合クリエイティブ企業として案件を安定して回されている,"https://www.asapri.co.jp/company/profile/ , https://www.asapri-hd.jp/company/",高
アット・ウエルネス,http://www.well-ness.co.jp/info/recruit.html,貴社がダイレクト・レスポンス・マーケティングの考え方に基づき、反応率を軸にしたコンテンツ設計に取り組まれている点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,ダイレクト・レスポンス・マーケティングの考え方に基づき、反応率を軸にしたコンテンツ設計に取り組まれている,"https://well-ness.co.jp/aboutus/ , https://www.well-ness.co.jp/",高
アドエイト,https://ad-eight.co.jp/partner/,貴社が大切にされている「8つのソリューション（EIGHT SOLUTION）」という言葉に、感銘を受けました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,8つのソリューション（EIGHT SOLUTION）,"https://ad-eight.co.jp/company/ , https://ad-eight.co.jp/service/",高
